State,Name,Total,Year
AK,Michael,207,1982
AK,Christopher,200,1984
AK,Michael,197,1990
AL,James,3050,1947
AL,James,2915,1943
AL,James,2847,1949
AR,James,1626,1947
AR,James,1623,1942
AR,James,1622,1943
AZ,Michael,1047,1989
AZ,Michael,1045,1984
AZ,Michael,1033,1988
CA,Michael,8306,1990
CA,Michael,8301,1969
CA,Michael,8283,1956
CO,Linda,1036,1948
CO,Michael,973,1970
CO,Michael,971,1969
CT,Robert,1622,1947
CT,John,1521,1964
CT,John,1491,1947
DC,John,884,1947
DC,John,843,1952
DC,Michael,843,1958
DE,Michael,311,1958
DE,John,304,1956
DE,John,290,1957
FL,Michael,3503,1990
FL,Michael,3302,1989
FL,Michael,3193,1991
GA,James,3079,1947
GA,James,2923,1946
GA,James,2898,1948
HI,Michael,325,1957
HI,Michael,310,1955
HI,Michael,309,1958
IA,Linda,2370,1947
IA,Linda,2150,1948
IA,Linda,1854,1949
ID,Linda,530,1947
ID,Linda,429,1948
ID,Linda,415,1949
IL,Michael,6236,1957
IL,Michael,6017,1958
IL,Michael,5966,1956
IN,Linda,3012,1947
IN,Michael,2787,1954
IN,Linda,2770,1948
KS,Linda,1387,1947
KS,Linda,1367,1948
KS,Michael,1184,1954
KY,James,2558,1947
KY,Mary,2551,1924
KY,Mary,2511,1921
LA,Michael,1676,1958
LA,Linda,1657,1947
LA,Mary,1645,1944
MA,Robert,3910,1947
MA,John,3835,1947
MA,Robert,3672,1946
MD,Michael,1789,1957
MD,Michael,1743,1958
MD,John,1671,1964
ME,Linda,778,1947
ME,Linda,684,1948
ME,Robert,649,1947
MI,Michael,4934,1957
MI,Michael,4909,1956
MI,Michael,4902,1954
MN,Linda,2144,1948
MN,Linda,2117,1949
MN,David,2043,1955
MO,Linda,2803,1947
MO,Linda,2773,1948
MO,Linda,2638,1949
MS,James,2296,1947
MS,James,2156,1948
MS,James,2146,1946
MT,Linda,472,1948
MT,Linda,441,1947
MT,Linda,415,1949
NC,James,3902,1947
NC,James,3641,1943
NC,James,3641,1946
ND,Linda,496,1947
ND,Linda,460,1948
ND,Linda,401,1949
NE,Linda,1060,1947
NE,Linda,1008,1948
NE,Robert,937,1924
NH,Robert,447,1947
NH,Linda,437,1947
NH,Robert,420,1946
NJ,John,3711,1964
NJ,Robert,3678,1947
NJ,John,3573,1947
NM,Mary,589,1947
NM,Mary,557,1946
NM,Mary,547,1948
NV,Michael,341,1990
NV,Michael,326,1991
NV,Michael,318,1989
NY,Robert,10046,1947
NY,John,9654,1947
NY,Robert,9314,1946
OH,Linda,5895,1947
OH,David,5501,1955
OH,Michael,5458,1957
OK,Linda,2072,1947
OK,Linda,1796,1948
OK,Linda,1576,1949
OR,Linda,1121,1947
OR,Linda,1069,1948
OR,Linda,1002,1949
PA,Mary,8197,1918
PA,John,8071,1947
PA,Mary,7998,1917
RI,Robert,682,1947
RI,Robert,648,1946
RI,Robert,646,1951
SC,James,2323,1947
SC,James,2286,1948
SC,James,2164,1949
SD,Linda,507,1948
SD,Linda,495,1947
SD,Linda,484,1949
TN,James,3293,1947
TN,James,2974,1946
TN,James,2972,1948
TX,Linda,5065,1947
TX,Christopher,5020,1985
TX,Christopher,5009,1984
UT,Jennifer,707,1972
UT,Michael,666,1980
UT,Michael,660,1978
VA,James,2685,1947
VA,James,2456,1948
VA,James,2405,1946
VT,Linda,325,1947
VT,Linda,276,1948
VT,Linda,263,1949
WA,Linda,1751,1948
WA,Linda,1697,1947
WA,Michael,1620,1954
WI,Mary,2404,1954
WI,Michael,2404,1957
WI,David,2400,1955
WV,Linda,1795,1947
WV,Linda,1773,1948
WV,James,1682,1947
WY,Linda,229,1948
WY,Linda,205,1949
WY,Linda,204,1947
